"##characteristics#run#execution_time_kernel_0#all"
3.603
3.697
3.666
10.374
11.122
10.467
3.463
3.478
3.541
10.609
10.545
10.748
4.229
3.65
3.759
3.775
3.79
3.806
3.588
3.588
3.728
3.744
3.728
3.712
3.525
4.071
3.541
3.478
3.385
3.447
10.639
10.608
10.592
3.51
3.494
3.463
3.604
3.603
3.541
3.556
3.603
4.134
3.26
3.291
3.229
3.385
3.494
4.12
3.494
3.478
3.588
3.494
3.478
3.681
3.104
3.12
3.088
3.354
3.494
3.307
3.541
3.556
3.556
10.576
10.717
10.561
3.634
3.525
3.494
3.432
3.432
3.463
10.514
10.966
10.608
3.853
3.837
3.868
10.623
10.701
10.53
3.712
3.712
3.697
3.244
3.244
3.276
3.9
4.009
3.9
3.525
3.541
3.525
3.79
3.759
3.868
3.775
3.775
3.744
3.65
3.728
3.666
10.53
10.576
10.545
3.51
3.463
3.478
3.432
3.432
3.385
10.53
10.576
10.623
4.229
3.65
3.759
3.26
3.291
3.229
3.104
3.12
3.088
3.712
3.712
3.697
3.494
3.463
3.494
3.494
3.478
3.447
3.478
3.494

