"##characteristics#compile#obj_size#min";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
23168;8.260739;0.090098
35332;22.84844;0.055427
35332;22.90799;0.105625
21596;8.137433;0.0
35332;23.1191265;0.1276875
21792;8.122358;0.0
21652;8.2966;0.021849
21384;7.544649;0.0
21860;8.792786;0.0
21384;7.544649;0.0
23168;8.245222;0.0

